
Método de Euler Implícito: 
x	y
0.000000	0.000000
0.010000	0.043037
0.020000	0.124013
0.030000	0.234478
0.040000	0.363382
0.050000	0.498064
0.060000	0.625380
0.070000	0.732875
0.080000	0.809898
0.090000	0.848548
0.100000	0.844385
0.110000	0.796818
0.120000	0.709165
0.130000	0.588350
0.140000	0.444285
0.150000	0.288986
0.160000	0.135496
0.170000	-0.003278
0.180000	-0.115721
0.190000	-0.192547
0.200000	-0.227630
0.210000	-0.218552
0.220000	-0.166816
0.230000	-0.077719
0.240000	0.040128
0.250000	0.175561
0.260000	0.315866
0.270000	0.447913
0.280000	0.559323
0.290000	0.639581
0.300000	0.680969
0.310000	0.679260
0.320000	0.634088
0.330000	0.548988
0.340000	0.431075
0.350000	0.290408
0.360000	0.139095
0.370000	-0.009794
0.380000	-0.143392
0.390000	-0.250184
0.400000	-0.321039
0.410000	-0.350023
0.420000	-0.334931
0.430000	-0.277486
0.440000	-0.183179
0.450000	-0.060788
0.460000	0.078414
0.470000	0.221661
0.480000	0.355834
0.490000	0.468637
0.500000	0.549690
0.510000	0.591457
0.520000	0.589922
0.530000	0.544945
0.540000	0.460274
0.550000	0.343210
0.560000	0.203956
0.570000	0.054705
0.580000	-0.091450
0.590000	-0.221687
0.600000	-0.324597
0.610000	-0.391207
0.620000	-0.415780
0.630000	-0.396327
0.640000	-0.334786
0.650000	-0.236850
0.660000	-0.111455
0.670000	0.030013
0.680000	0.174740
0.690000	0.309624
0.700000	0.422449
0.710000	0.502973
0.720000	0.543846
0.730000	0.541261
0.740000	0.495302
0.750000	0.409928
0.760000	0.292625
0.770000	0.153735
0.780000	0.005531
0.790000	-0.138875
0.800000	-0.266711
0.810000	-0.366677
0.820000	-0.429963
0.830000	-0.451029
0.840000	-0.428104
0.850000	-0.363345
0.860000	-0.262641
0.870000	-0.135088
0.880000	0.007820
0.890000	0.153222
0.900000	0.288038
0.910000	0.400133
0.920000	0.479407
0.930000	0.518694
0.940000	0.514402
0.950000	0.466834
0.960000	0.380160
0.970000	0.262049
0.980000	0.122976
0.990000	-0.024705
1.000000	-0.167874
