
Método de Euler Explícito: 
x	y
0.000000	0.000000
0.001000	0.020000
0.002000	0.039900
0.003000	0.059700
0.004000	0.079402
0.005000	0.099005
0.006000	0.118510
0.007000	0.137917
0.008000	0.157228
0.009000	0.176442
0.010000	0.195559
0.011000	0.214582
0.012000	0.233509
0.013000	0.252341
0.014000	0.271080
0.015000	0.289724
0.016000	0.308276
0.017000	0.326734
0.018000	0.345100
0.019000	0.363375
0.020000	0.381558
0.021000	0.399650
0.022000	0.417652
0.023000	0.435564
0.024000	0.453386
0.025000	0.471119
0.026000	0.488763
0.027000	0.506320
0.028000	0.523788
0.029000	0.541169
0.030000	0.558463
0.031000	0.575671
0.032000	0.592793
0.033000	0.609829
0.034000	0.626779
0.035000	0.643646
0.036000	0.660427
0.037000	0.677125
0.038000	0.693740
0.039000	0.710271
0.040000	0.726720
0.041000	0.743086
0.042000	0.759370
0.043000	0.775574
0.044000	0.791696
0.045000	0.807737
0.046000	0.823699
0.047000	0.839580
0.048000	0.855382
0.049000	0.871105
0.050000	0.886750
0.051000	0.902316
0.052000	0.917804
0.053000	0.933215
0.054000	0.948549
0.055000	0.963807
0.056000	0.978988
0.057000	0.994093
0.058000	1.009122
0.059000	1.024077
0.060000	1.038956
0.061000	1.053761
0.062000	1.068493
0.063000	1.083150
0.064000	1.097734
0.065000	1.112246
0.066000	1.126684
0.067000	1.141051
0.068000	1.155346
0.069000	1.169569
0.070000	1.183721
0.071000	1.197803
0.072000	1.211814
0.073000	1.225755
0.074000	1.239626
0.075000	1.253428
0.076000	1.267160
0.077000	1.280825
0.078000	1.294421
0.079000	1.307948
0.080000	1.321409
0.081000	1.334802
0.082000	1.348128
0.083000	1.361387
0.084000	1.374580
0.085000	1.387707
0.086000	1.400769
0.087000	1.413765
0.088000	1.426696
0.089000	1.439563
0.090000	1.452365
0.091000	1.465103
0.092000	1.477777
0.093000	1.490388
0.094000	1.502937
0.095000	1.515422
0.096000	1.527845
0.097000	1.540206
0.098000	1.552504
0.099000	1.564742
0.100000	1.576918
0.101000	1.589034
0.102000	1.601088
0.103000	1.613083
0.104000	1.625018
0.105000	1.636893
0.106000	1.648708
0.107000	1.660465
0.108000	1.672162
0.109000	1.683801
0.110000	1.695382
0.111000	1.706905
0.112000	1.718371
0.113000	1.729779
0.114000	1.741130
0.115000	1.752425
0.116000	1.763662
0.117000	1.774844
0.118000	1.785970
0.119000	1.797040
0.120000	1.808055
0.121000	1.819015
0.122000	1.829920
0.123000	1.840770
0.124000	1.851566
0.125000	1.862308
0.126000	1.872997
0.127000	1.883632
0.128000	1.894214
0.129000	1.904742
0.130000	1.915219
0.131000	1.925643
0.132000	1.936014
0.133000	1.946334
0.134000	1.956603
0.135000	1.966820
0.136000	1.976986
0.137000	1.987101
0.138000	1.997165
0.139000	2.007179
